,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1991,17,Wakefieldthorpe Street,Leslie,Webb,85,Head,Widowed,Male,Retired Garment/textile technologist,None,Catholic
1992,18,Wakefieldthorpe Street,Mark,Abbott,60,Head,Divorced,Male,Politician's assistant,None,Catholic
1993,19,Wakefieldthorpe Street,Guy,Watts,63,Head,Single,Male,Special effects artist,None,None
1994,19,Wakefieldthorpe Street,Sandra,Holloway,60,Partner,Single,Female,"Scientist, water quality",None,None
1995,20,Wakefieldthorpe Street,Zoe,Taylor,18,Head,Single,Female,Student,None,NA
1996,21,Wakefieldthorpe Street,Abbie,Owen,24,Head,Single,Female,Garment/textile technologist,None,Methodist
1997,21,Wakefieldthorpe Street,Terence,Foster,27,Partner,Single,Male,Orthoptist,None,None
1998,22,Wakefieldthorpe Street,Kelly,George,80,Head,Divorced,Female,"Retired Surveyor, mining",None,Christian
1999,23,Wakefieldthorpe Street,Julia,Jones,84,Head,Widowed,Female,Retired Clinical psychologist,None,Catholic
2000,24,Wakefieldthorpe Street,Barbara,Martin,46,Head,Single,Female,Heritage manager,None,None
2001,25,Wakefieldthorpe Street,Lindsey,King,65,Head,Married,Female,"Scientist, physiological",None,Christian
2002,25,Wakefieldthorpe Street,Robin,King,67,Husband,Married,Male,Systems analyst,None,Christian
2003,26,Wakefieldthorpe Street,Antony,Jones,25,Head,Single,Male,Warden/ranger,None,Catholic
2004,27,Wakefieldthorpe Street,Timothy,McDonald,97,Head,Widowed,Male,Retired Charity fundraiser,None,Christian
2005,28,Wakefieldthorpe Street,William,Elliott,50,Head,Single,Male,Ship broker,None,Christian
2006,28,Wakefieldthorpe Street,Jacob,Elliott,12,Son,NA,Male,Student,None,NA
2007,29,Wakefieldthorpe Street,Glenn,Wyatt,39,Head,Married,Male,Unemployed,None,Methodist
2008,29,Wakefieldthorpe Street,Carol,Wyatt,39,Wife,Married,Female,Learning mentor,None,None
2009,30,Wakefieldthorpe Street,Charlotte,Gill,56,Head,Married,Female,"Engineer, maintenance",None,Christian
2010,30,Wakefieldthorpe Street,Ross,Gill,58,Husband,Married,Male,Dispensing optician,None,Christian
2011,31,Wakefieldthorpe Street,Hazel,Burns,84,Head,Widowed,Female,"Retired Teacher, early years/pre",None,Christian
2012,32,Wakefieldthorpe Street,William,Brown,55,Head,Married,Male,Print production planner, ,Christian
2013,32,Wakefieldthorpe Street,Carly,Brown,53,Wife,Married,Female,Clothing/textile technologist,None,Christian
2014,33,Wakefieldthorpe Street,Amelia,Donnelly,36,Head,Married,Female,"Geologist, engineering",None,Catholic
2015,33,Wakefieldthorpe Street,Toby,Donnelly,37,Husband,Married,Male,Youth worker,None,Catholic
2016,34,Wakefieldthorpe Street,Clive,McLean,86,Head,Widowed,Male,Retired Patent attorney,None,None
2017,35,Wakefieldthorpe Street,Jade,Mellor,57,Head,Single,Female,Mining engineer,None,Christian
2018,36,Wakefieldthorpe Street,Alan,Jackson,56,Head,Single,m,Unemployed,None,Christian
2019,1,Chester Street,Lynn,Nicholson,52,Head,Married,Female,"Engineer, maintenance (IT)",None,None
2020,1,Chester Street,Terry,Nicholson,57,Husband,Married,Male,Toxicologist,None,None
2021,2,Chester Street,Rachel,Hewitt,73,Head,Married,Female,Retired Camera operator,None,None
2022,2,Chester Street,Holly,Hewitt,71,Wife,Married,Female,Retired Geochemist,None,None
2023,3,Chester Street,Abbie,Anderson,38,Head,Divorced,Female,Unemployed,None,Catholic
2024,3,Chester Street,Samantha,Anderson,3,Daughter,NA,Female,Child,None,NA
2025,4,Chester Street,Aimee,Butler,39,Head,Divorced,Female,Unemployed,None,Christian
2026,4,Chester Street,Graham,Butler,13,Son,NA,Male,Student,None,NA
2027,4,Chester Street,Jessica,Butler,9,Daughter,NA,Female,Student,None,NA
2028,5,Chester Street,Harriet,Smith,47,Head,Single,Female,Structural engineer,None,Christian
2029,5,Chester Street,Eric,Smith,16,Son,NA,Male,Student,None,NA
2030,5,Chester Street,Nigel,Smith,11,Son,NA,male,Student,None,NA
2031,5,Chester Street,Anna,Smith,11,Daughter,NA,Female,Student,None,NA
2032,5,Chester Street,Carolyn,Weston,10,Daughter,NA,Female,Student,None,NA
2033,6,Chester Street,Anne,Thomson,16,Head,Married,Female,Student,None,NA
2034,6,Chester Street,Brandon,Thomson,19,Husband,Married,Male,University Student,None,None
2035,6,Chester Street,Steven,Thomson,0,Son,NA,Male,Child,None,NA
2036,6,Chester Street,Lynne,Thomson,0,Daughter,NA,Female,Child,None,NA
2037,6,Chester Street,Karen,Rees,53,Lodger,Divorced,Female,Public house manager,None,Methodist
2038,7,Chester Street,Howard,Morrison,44,Head,Single,Male,Records manager,None,Methodist
2039,7,Chester Street,Amelia,Perkins,41,Partner,Single,Female,"Engineer, manufacturing",None,Methodist
2040,8,Chester Street,Emily,Hughes,50,Head,Married,Female,"Engineer, electronics",None,Christian
2041,8,Chester Street,Malcolm,Hughes,53,Husband,Married,Male,Agricultural engineer,None,None
2042,9,Chester Street,Donald,Cook,46,Head,Single,Male,"Editor, commissioning",None,Christian
2043,1,Sinclair Passage,Zoe,Young,18,Head,Single,Female,University Student,None,Methodist
2044,1,Sinclair Passage,Albert,Khan,18,None,Single,Male,University Student,None,Christian
2045,2,Sinclair Passage,Brenda,Gibbs,66,Head,Married,f,"Librarian, academic",None,None
2046,2,Sinclair Passage,Daniel,Gibbs,68,Husband,Married,Male,Retired Quality manager,None,None
2047,3,Sinclair Passage,Alex,Clarke,43,Head,Single,Male,"Accountant, chartered public finance",None,None
2048,4,Sinclair Passage,Eileen,Clarke,30,Head,Single,Female,Cartographer,None,None
2049,4,Sinclair Passage,Cheryl,Wallis,57,None,Single,Female,Information systems manager,None,Christian
2050,5,Sinclair Passage,Carole,Robertson,70,Head,Widowed,Female,Retired Industrial buyer,None,Jewish
2051,6,Sinclair Passage,Laura,Thomas,44,Head,Single,Female,Chief Technology Officer,None,Christian
2052,7,Sinclair Passage,Danielle,Smith,43,Head,Married,Female,Press sub,None,None
2053,7,Sinclair Passage,Arthur,Smith,48,Husband,Married,Male,"Therapist, music",None,None
2054,7,Sinclair Passage,Frances,Smith,11,Daughter,NA,Female,Student,None,NA
2055,8,Sinclair Passage,Aaron,Morgan,34,Head,Single,Male,"Engineer, automotive",None,None
2056,9,Sinclair Passage,Lindsey,Austin,39,Head,Divorced,Female,Unemployed,None,None
2057,9,Sinclair Passage,Timothy,Austin,19,Son,Single,Male,University Student,None,None
2058,9,Sinclair Passage,Annette,Austin,14,Daughter,NA,Female,Student,None,NA
2059,10,Sinclair Passage,Ann,Marshall,55,Head,Divorced,Female,Unemployed,None,Christian
2060,10,Sinclair Passage,Hannah,Marshall,15,Daughter,NA,Female,Student,None,NA
2061,11,Sinclair Passage,Jemma,Farmer,37,Head,Married,Female,Tourist information centre manager,None,Catholic
2062,11,Sinclair Passage,Jack,Farmer,39,Husband,Married,Male,Advertising copywriter,None,None
2063,11,Sinclair Passage,Norman,Green,22,Lodger,Single,M,University Student,None,None
2064,12,Sinclair Passage,Karl,Johnson,67,Head,Divorced,Male,Metallurgist,None,None
2065,13,Sinclair Passage,Janet,Frost,71,Head,Single,Female,Retired Control and instrumentation engineer,None,Christian
2066,14,Sinclair Passage,Harriet,Steele,43,Head,Single,Female,"Teacher, secondary school",None,Christian
2067,15,Sinclair Passage,Ellie,McDonald,53,Head,Divorced,Female,"Scientist, marine",None,Catholic
2068,16,Sinclair Passage,Leonard,Cox,73,Head,Divorced,Male,"Retired Solicitor, Scotland",None,Christian
2069,17,Sinclair Passage,Linda,Brown,25,Head,Divorced,Female,"Accountant, chartered",None,None
2070,18,Sinclair Passage,Jay,Barker,46,Head,Single,Male,Administrator,None,Catholic
2071,18,Sinclair Passage,Ann,Taylor,44,Partner,Single,Female,Unemployed,None,None
2072,19,Sinclair Passage,Dennis,Francis,55,Head,Divorced,Male,Unemployed,None,Christian
2073,19,Sinclair Passage,Joyce,Francis,17,Daughter,NA,Female,Student,None,NA
2074,19,Sinclair Passage,David,Francis,13,Son,NA,Male,Student,None,NA
2075,20,Sinclair Passage,Zoe,Scott,26,Head,Widowed,Female,"Restaurant manager, fast food",None,Christian
2076,21,Sinclair Passage,Aimee,Anderson,70,Head,Widowed,Female,Retired TEFL teacher,None,None
2077,22,Sinclair Passage,Donna,Howard,76,Head,Widowed,Female,Retired Restaurant manager,None,None
2078,23,Sinclair Passage,Caroline,Murphy,32,Head,Divorced,Female,Industrial/product designer,None,None
2079,23,Sinclair Passage,Georgina,Murphy,12,Daughter,NA,Female,Student,None,NA
2080,23,Sinclair Passage,Keith,Murphy,12,Son,NA,Male,Student,None,NA
2081,23,Sinclair Passage,Keith,Murphy,8,Son,NA,Male,Student,None,NA
2082,24,Sinclair Passage,Carly,Kemp,33,Head,Single,Female,Merchant navy officer,None,None
2083,24,Sinclair Passage,Ashley,Kemp,10,Son,NA,Male,Student,None,NA
2084,25,Sinclair Passage,Steven,Walker,42,Head,Married,Male,Chief Technology Officer,None,Catholic
2085,25,Sinclair Passage,Louise,Walker,40,Wife,Married,Female,Housing manager/officer,None,Catholic
2086,25,Sinclair Passage,Rebecca,Walker,13,Daughter,NA,Female,Student,None,NA
2087,1,Palmtree Haven,Jean,Hanson,34,Head,Single,Female,Clinical psychologist,None,Christian
2088,1,Palmtree Haven,Bethany,Hanson,13,Daughter,NA,Female,Student,None,NA
2089,2,Palmtree Haven,Mohammad,Howard,67,Head,Widowed,Male,Hotel manager,None,Catholic
2090,2,Palmtree Haven,Lydia,Howard,45,Adopted Daughter,Single,Female,Public librarian,None,None
2091,2,Palmtree Haven,Stuart,Howard,43,Son,Single,Male,"Designer, television/film set",None,None
2092,3,Palmtree Haven,Jennifer,Gibbons,35,Head,Married,Female,Toxicologist,None,None
2093,3,Palmtree Haven,Louis,Gibbons,34,Husband,Married,Male,"Engineer, automotive",None,None
2094,3,Palmtree Haven,Bradley,Gibbons,4,Son,NA,Male,Child,None,NA
2095,4,Palmtree Haven,Ashleigh,Lewis,33,Head,Single,Female,Environmental consultant,None,None
2096,4,Palmtree Haven,Dale,Taylor,36,Partner,Single,Male,Television production assistant,None,None
2097,5,Palmtree Haven,Anne,Jones,26,Head,Single,Female,Analytical chemist,None,Methodist
2098,6,Palmtree Haven,Hugh,Hartley,29,Head,Married,male,Field trials officer,None,Methodist
2099,6,Palmtree Haven,Gillian,Hartley,23,Wife,Married,Female,Counselling psychologist,None,None
2100,6,Palmtree Haven,Christopher,Jones,27,Visitor,Single,Male,Dealer,None,Christian
2101,6,Palmtree Haven,Jack,Carter,20,Lodger,Single,Male,University Student,None,None
2102,7,Palmtree Haven,Lorraine,Jones,34,Head,Married,Female,Plant breeder/geneticist,None,None
2103,7,Palmtree Haven,Kieran,Jones,37,Husband,Married,Male,Unemployed,None,None
2104,7,Palmtree Haven,Maria,Jones,2,Daughter,NA,Female,Child,None,NA
2105,7,Palmtree Haven,Lee,Jones,0,Son,NA,Male,Child,None,NA
2106,8,Palmtree Haven,Phillip,Jennings,57,Head,Married,Male,Data scientist,None,None
2107,8,Palmtree Haven,Alison,Jennings,60,Wife,Married,Female,Geophysical data processor,None,None
2108,9,Palmtree Haven,Carolyn,Kemp,39,Head,Divorced,Female,"Biochemist, clinical",None,None
2109,9,Palmtree Haven,Martin,Kemp,51,Cousin,Single,Male,"Civil engineer, consulting",None,None
2110,9,Palmtree Haven,Ian,Wright,47,Cousin,Divorced,Male,Youth worker,None,None
2111,10,Palmtree Haven,Kirsty,Bennett,65,Head,Married,Female,English as a foreign language teacher,None,Christian
2112,10,Palmtree Haven,Anthony,Bennett,70,Husband,Married,Male,"Retired Nurse, children's",None,Christian
2113,10,Palmtree Haven,Jean,Bennett,29,Daughter,Single,Female,Ceramics designer,None,Christian
2114,11,Palmtree Haven,Glenn,Harris,43,Head,Married,Male,Chartered legal executive (England and Wales),None,None
2115,11,Palmtree Haven,Karen,Harris,37,Wife,Married,Female,Exercise physiologist,None,None
2116,11,Palmtree Haven,Christopher,Harris,2,Son,NA,Male,Child,None,NA
2117,11,Palmtree Haven,Adam,Daly,39,Lodger,Single,Male,"Nurse, children's",None,Catholic
2118,12,Palmtree Haven,Kate,Harris,57,Head,Married,Female,"Education officer, museum",None,Christian
2119,12,Palmtree Haven,Terence,Harris,57,Husband,Married,Male,Civil Service fast streamer,None,Christian
2120,12,Palmtree Haven,Trevor,Harris,12,Son,NA,Male,Student,None,NA
2121,12,Palmtree Haven,Catherine,Harris,8,Daughter,NA,Female,Student,None,NA
2122,13,Palmtree Haven,Janice,Smith,75,Head,Widowed,Female,Unemployed,None,Christian
2123,13,Palmtree Haven,Jeffrey,Smith,44,Son,Single,Male,Purchasing manager,None,None
2124,13,Palmtree Haven,Stewart,Smith,43,Son,Single,Male,Hydrogeologist,None,Christian
2125,14,Palmtree Haven,Jessica,Tomlinson,49,Head,Single,Female,Unemployed,None,None
2126,14,Palmtree Haven,Gordon,Tomlinson,12,Son,NA,Male,Student,None,NA
2127,14,Palmtree Haven,Stanley,Tomlinson,10,Son,NA,Male,Student,None,NA
2128,14,Palmtree Haven,Joshua,Tomlinson,7,Son,NA,Male,Student,None,NA
2129,14,Palmtree Haven,Peter,Tomlinson,7,Son,NA,Male,Student,None,NA
2130,15,Palmtree Haven,Ashleigh,Ahmed,49,Head,Married,Female,Unemployed,None,None
2131,15,Palmtree Haven,Mark,Ahmed,48,Husband,Married,M,Personal assistant,None,None
2132,15,Palmtree Haven,Sheila,Ahmed,28,Daughter,Single,Female,"Engineer, manufacturing",None,None
2133,15,Palmtree Haven,Denis,Ahmed,26,Son,Single,Male,Teaching laboratory technician,None,None
2134,15,Palmtree Haven,Maurice,Ahmed,12,Son,NA,Male,Student,None,NA
2135,16,Palmtree Haven,Jodie,Williamson-Jones,60,Head,Divorced,Female,Unemployed,None,Christian
2136,16,Palmtree Haven,Adam,Williamson-Jones,6,Adopted Son,NA,Male,Student,None,NA
2137,17,Palmtree Haven,Anna,Robinson,52,Head,Married,Female,"Radiographer, diagnostic",None,Christian
2138,17,Palmtree Haven,Graeme,Robinson,56,Husband,Married,Male,"Chemist, analytical",None,Christian
2139,17,Palmtree Haven,Duncan,Robinson,14,Son,NA,Male,Student,None,NA
2140,18,Palmtree Haven,Christopher,Webb,25,Head,Divorced,Male,Public relations account executive,None,None
2141,19,Palmtree Haven,Tracy,Long,38,Head,Divorced,Female,Ceramics designer,None,Catholic
2142,19,Palmtree Haven,John,Long,5,Son,NA,Male,Student,None,NA
2143,19,Palmtree Haven,Zoe,Long,2,Daughter,NA,Female,Child,None,NA
2144,1,Stirling Avenue,Mitchell,Hooper,47,Head,Single,Male,"Engineer, mining",None,None
2145,1,Stirling Avenue,Aaron,Sanders,30,None,Single,Male,Chiropodist,None,Catholic
2146,1,Stirling Avenue,Andrew,Boyle,37,None,Single,Male,"Surveyor, building",None,Catholic
2147,2,Stirling Avenue,Megan,Reed,51,Head,Single,Female,Counsellor,None,Christian
2148,2,Stirling Avenue,Alan,Davies,56,None,Single,Male,"Teacher, early years/pre",None,None
2149,2,Stirling Avenue,Lynda,Wilson,40,None,Single,Female,Farm manager,None,Catholic
2150,2,Stirling Avenue,Ricky,Andrews,52,None,Single,Male,Unemployed,None,None
2151,2,Stirling Avenue,Terence,Charlton,49,None,Single,Male,"Psychologist, forensic",None,None
2152,3,Stirling Avenue,Megan,Evans,40,Head,Married,Female,Field trials officer,None,Catholic
2153,3,Stirling Avenue,Joseph,Evans,43,Husband,Married,Male,Chief Financial Officer,None,Catholic
2154,3,Stirling Avenue,Denis,Evans,17,Son,NA,Male,Student,None,NA
2155,4,Stirling Avenue,Bernard,Brooks,62,Head,Single,Male,"Secretary, company",None,Methodist
2156,4,Stirling Avenue,Gordon,Bell,25,None,Single,m,Trade mark attorney,None,None
2157,5,Stirling Avenue,Holly,Ford,66,Head,Widowed,Female,Copy,None,None
2158,6,Stirling Avenue,Jemma,Hussain,52,Head,Single,Female,Unemployed,None,Christian
2159,6,Stirling Avenue,Scott,Hussain,15,Son,NA,Male,Student,None,NA
2160,7,Stirling Avenue,Ruth,Bird,37,Head,Divorced,female,Unemployed,None,Christian
2161,7,Stirling Avenue,Kieran,Bird,16,Son,NA,Male,Student,None,NA
2162,8,Stirling Avenue,Clifford,Foster,31,Head,Married,Male,"Engineer, electronics",None,None
2163,8,Stirling Avenue,Abbie,Foster,28,Wife,Married,Female,"Administrator, charities/voluntary organisations",None,None
2164,1,Iron Track,Susan,Francis,38,Head,Married,Female,Chief Operating Officer,None,Christian
2165,1,Iron Track,Marcus,Francis,41,Husband,Married,Male,"Conservator, museum/gallery",None,Christian
2166,1,Iron Track,Lynda,Francis,9,Daughter,NA,Female,Student,None,NA
2167,1,Iron Track,Roy,Francis,9,Son,NA,Male,Student,None,NA
2168,2,Iron Track,Yvonne,Wright,28,Head,Single,Female,Sports coach,None,None
2169,3,Iron Track,Natasha,Martin,30,Head,Married,Female,Architectural technologist,None,Catholic
2170,3,Iron Track,Jacob,Martin,34,Husband,Married,Male,Advertising copywriter,None,None
2171,3,Iron Track,Natasha,Martin,6,Daughter,NA,Female,Student,None,NA
2172,3,Iron Track,Anna,Martin,3,Daughter,NA,Female,Child,None,NA
2173,3,Iron Track,Kirsty,Martin,1,Daughter,NA,Female,Child,None,NA
2174,3,Iron Track,Jacob,Martin,0,Son,NA,Male,Child,None,NA
2175,4,Iron Track,Kelly,Lawrence,39,Head,Married,Female,Trade union research officer,None,Christian
2176,4,Iron Track,Rhys,Lawrence,43,Husband,Married,Male,"Accountant, chartered public finance",None,None
2177,4,Iron Track,Kathleen,Lawrence,13,Daughter,NA,Female,Student,None,NA
2178,4,Iron Track,Claire,Lawrence,12,Daughter,NA,Female,Student,None,NA
2179,5,Iron Track,Alexandra,Poole,36,Head,Married,Female,Financial risk analyst,None,Catholic
2180,5,Iron Track,Leslie,Griffiths,37,Husband,Married,m,Legal secretary,None,None
2181,5,Iron Track,Dominic,Poole,11,Son,NA,Male,Student,None,NA
2182,5,Iron Track,Ashleigh,Poole,9,Daughter,NA,Female,Student,None,NA
2183,6,Iron Track,Stephanie,Jones,52,Head,Married,Female,Tax adviser,None,Methodist
2184,6,Iron Track,Mathew,Jones,54,Husband,Married,Male,Magazine features editor,None,Methodist
2185,7,Iron Track,Ashleigh,Roberts-Perry,47,Head,Single,Female,Chief Operating Officer,None,Catholic
2186,7,Iron Track,Dominic,Williams,49,Partner,Single,Male,Equality and diversity officer,None,Catholic
2187,7,Iron Track,Robert,Roberts-Perry,17,Son,NA,Male,Student,None,NA
2188,7,Iron Track,Holly,Roberts-Perry,16,Daughter,NA,Female,Student,None,NA
2189,7,Iron Track,Daniel,Roberts-Perry,13,Son,NA,Male,Student,None,NA
2190,7,Iron Track,Stuart,Roberts-Perry,9,Son,NA,Male,Student,None,NA
2191,8,Iron Track,Rachael,Williams,18,Head,Single,Female,Student,None,NA
2192,8,Iron Track,Diane,Moore,33,None,Single,Female,Tourist information centre manager,None,Catholic
2193,9,Iron Track,Sian,Watson,27,Head,Single,Female,"Engineer, building services",None,Catholic
2194,9,Iron Track,Hannah,Evans,49,Lodger,Single,Female,Commercial art gallery manager,None,Christian
2195,9,Iron Track,Charlotte,Mellor,61,Sibling,Divorced,f,Midwife,None,Catholic
2196,9,Iron Track,Jamie,Stewart,45,Lodger,Single,Male,Insurance risk surveyor,None,Christian
2197,1,Norwich Cliffs,Elliott,Phillips,22,Head,Married,Male,Quarry manager,None,None
2198,1,Norwich Cliffs,Naomi,Phillips,19,Wife,Married,Female,University Student,None,None
2199,2,Norwich Cliffs,Julian,Oliver,44,Head,Divorced,Male,Dance movement psychotherapist,None,None
2200,3,Norwich Cliffs,Max,Bradley,22,Head,Single,Male,University Student,None,Christian
2201,3,Norwich Cliffs,Georgina,Whitehouse,21,None,Single,Female,University Student,None,Christian
2202,3,Norwich Cliffs,Jill,Cox,22,None,Single,Female,University Student,None,Catholic
2203,3,Norwich Cliffs,Linda,Kelly,19,None,Single,Female,University Student,None,Christian
2204,4,Norwich Cliffs,Neil,Thomas,51,Head,Single,Male,Animator,None,Christian
2205,5,Norwich Cliffs,Megan,Houghton,78,Head,Widowed,Female,Retired Diagnostic radiographer,None,Methodist
2206,6,Norwich Cliffs,Hayley,Stewart,34,Head,Single,Female,Data processing manager,None,Christian
2207,6,Norwich Cliffs,Jordan,Stewart,4,Son,NA,Male,Child,None,NA
2208,6,Norwich Cliffs,Paula,Arnold,57,Lodger,Single,Female,Civil Service fast streamer,None,Methodist
2209,7,Norwich Cliffs,Shannon,Dean,62,Head,Divorced,Female,Unemployed,None,Methodist
2210,7,Norwich Cliffs,Brett,Roberts,30,Son,Single,Male,Gaffer,None,Methodist
2211,8,Norwich Cliffs,Rhys,Edwards,65,Head,Married,Male,"Engineer, materials",None,Christian
2212,8,Norwich Cliffs,Lauren,Edwards,61,Wife,Married,Female,Electronics engineer,None,Christian
2213,9,Norwich Cliffs,Emma,Talbot,76,Head,Married,Female,Retired Film/video editor,None,Christian
2214,9,Norwich Cliffs,Mohammed,Talbot,78,Husband,Married,Male,Retired Forensic scientist,None,Christian
2215,10,Norwich Cliffs,Georgia,Martin,45,Head,Single,Female,Patent attorney,None,Catholic
2216,10,Norwich Cliffs,Damian,Powell,45,Partner,Single,Male,Trade mark attorney,None,None
2217,10,Norwich Cliffs,Nigel,Martin,13,Son,NA,Male,Student,None,NA
2218,10,Norwich Cliffs,Danielle,Martin,13,Daughter,NA,Female,Student,None,NA
2219,10,Norwich Cliffs,Jennifer,Martin,10,Daughter,NA,Female,Student,None,NA
2220,11,Norwich Cliffs,Lawrence,Dale,40,Head,Single,Male,"Engineer, biomedical",None,None
2221,12,Norwich Cliffs,Michael,Gregory,25,Head,Single,Male,Unemployed,None,Catholic
2222,12,Norwich Cliffs,Gerard,Gregory,3,Son,NA,Male,Child,None,NA
2223,12,Norwich Cliffs,Christian,Gregory,2,Son,NA,Male,Child,None,NA
2224,13,Norwich Cliffs,Catherine,Hill,51,Head,Single,Female,Civil Service administrator,None,Christian
2225,14,Norwich Cliffs,Graham,Humphreys,48,Head,Single,Male,Curator,None,Catholic
2226,14,Norwich Cliffs,Margaret,Barker,48,Partner,Single,Female,Town planner,Deaf,None
2227,15,Norwich Cliffs,Hazel,Nicholson,39,Head,Single,Female,Unemployed,None,Christian
2228,15,Norwich Cliffs,Alexander,Nicholson,1,Son,NA,Male,Child,None,NA
2229,15,Norwich Cliffs,Holly,Turner,54,Cousin,Single,Female,Armed forces operational officer,None,Christian
2230,15,Norwich Cliffs,Bryan,Adams,60,Lodger,Single,Male,Financial risk analyst,None,None
2231,15,Norwich Cliffs,Jasmine,Middleton,32,Sibling,Single,Female,Geographical information systems officer,None,Methodist
2232,16,Norwich Cliffs,Charles,Moss,79,Head,Married,Male,Retired Bookseller,None,Christian
2233,16,Norwich Cliffs,Danielle,Moss,75,Wife,Married,Female,Retired Legal executive,None,Christian
2234,17,Norwich Cliffs,Brenda,Evans,75,Head,Widowed,Female,"Retired Buyer, industrial",None,Christian
2235,18,Norwich Cliffs,Nicholas,Banks,39,Head,Married,Male,Industrial buyer,None,Christian
2236,18,Norwich Cliffs,Alexandra,Banks,36,Wife,Married,Female,Chief Executive Officer,None,Christian
2237,19,Norwich Cliffs,Carl,Davies,42,Head,Single,Male,"Therapist, nutritional",Physical Disability,None
2238,19,Norwich Cliffs,Donald,Thornton,40,None,Single,Male,Teaching laboratory technician,None,Christian
2239,19,Norwich Cliffs,Cheryl,Murphy,59,None,Single,Female,Fisheries officer,None,None
2240,19,Norwich Cliffs,Emily,Hill,19, ,Single,Female,University Student,None,None
2241,20,Norwich Cliffs,Kelly,Smith,32,Head,Single,Female,Unemployed,None,Catholic
2242,20,Norwich Cliffs,Matthew,Smith,1,Son,NA,Male,Child,None,NA
2243,20,Norwich Cliffs,Gary,Smith,0,Son,NA,Male,Child,None,NA
2244,21,Norwich Cliffs,Caroline,Kay,35,Head,Married,Female,Graphic designer,None,Methodist
2245,21,Norwich Cliffs,Neil,Kay,37,Husband,Married,Male,"Radiographer, therapeutic",None,Methodist
2246,21,Norwich Cliffs,Gavin,Kay,11,Son,NA,Male,Student,None,NA
2247,21,Norwich Cliffs,Laura,Kay,9,Daughter,NA,Female,Student,None,NA
2248,21,Norwich Cliffs,Hayley,Kay,9,Daughter,NA,Female,Student,None,NA
2249,22,Norwich Cliffs,Michelle,Lee,78,Head,Married,Female,Retired Print production planner,None,Christian
2250,22,Norwich Cliffs,Clive,Lee,77,Husband,Married,Male,Retired Animator,None,Christian
2251,23,Norwich Cliffs,Frances,King,76,Head,Married,Female,"Retired Editor, film/video",None,Catholic
2252,23,Norwich Cliffs,Mathew,King,75,Husband,Married,Male,Retired Chief Technology Officer,None,Catholic
2253,24,Norwich Cliffs,Shaun,Brookes,45,Head,Married,Male,"Conservator, furniture",None,None
2254,24,Norwich Cliffs,Teresa,Brookes,44,Wife,Married,Female,"Production designer, theatre/television/film",None,None
2255,25,Norwich Cliffs,Dorothy,Anderson,43,Head,Married,Female,Telecommunications researcher,None,Catholic
2256,25,Norwich Cliffs,Nathan,Anderson,44,Husband,Married,Male,"Engineer, electronics",None,Catholic
2257,25,Norwich Cliffs,Eric,Anderson,3,Son,NA,Male,Child,None,NA
2258,25,Norwich Cliffs,Charlie,Anderson,0,Son,NA,Male,Child,None,NA
2259,26,Norwich Cliffs,Charlie,Hicks,21,Head,Divorced,Male,University Student,None,None
2260,26,Norwich Cliffs,Victoria,Rees,59,None,Single,Female,Teaching laboratory technician,None,Methodist
2261,26,Norwich Cliffs,Tom,Jenkins,27,None,Single,Male,"Engineer, communications",None,Christian
2262,26,Norwich Cliffs,Joan,Shepherd,54,None,Single,Female,Applications developer,None,Catholic
2263,26,Norwich Cliffs,David,Pollard,19,None,Single,Male,University Student,None,None
2264,27,Norwich Cliffs,Bethany,Patel,76,Head,Widowed,Female,"Retired Pharmacist, community",None,Christian
2265,28,Norwich Cliffs,Georgina,Hill,31,Head,Widowed,Female,Unemployed,None,None
2266,28,Norwich Cliffs,Dale,Hill,1,Son,NA,Male,Child,None,NA
2267,29,Norwich Cliffs,Eric,Howell,41,Head,Single,Male,"Administrator, local government",None,None
2268,30,Norwich Cliffs,George,Sheppard,23,Head,Married,Male,Chartered accountant,None,None
2269,30,Norwich Cliffs,Lesley,Sheppard,19,Wife,Married,Female,University Student,None,None
2270,31,Norwich Cliffs,Jacqueline,Taylor,80,Head,Widowed,Female,Retired Industrial/product designer,None,Christian
2271,32,Norwich Cliffs,Mary,Jones,38,Head,Married,Female,Unemployed,None,None
2272,32,Norwich Cliffs,Robert,Jones,41,Husband,Married,Male,"Surveyor, minerals",None,None
2273,32,Norwich Cliffs,Anna,Jones,5,Daughter,NA,Female,Student,None,NA
2274,33,Norwich Cliffs,Jodie,O'Brien,21,Head,Single,Female,University Student,None,None
2275,33,Norwich Cliffs,Stewart,Williams,20,Partner,Single,M,University Student,None,None
2276,34,Norwich Cliffs,Billy,Thomas,64,Head,Single,Male,Technical author,None,Christian
2277,35,Norwich Cliffs,Wayne,Daly,40,Head,Single,Male,Special effects artist,None,None
2278,35,Norwich Cliffs,Katherine,Brown,44,Lodger,Single,Female,Unemployed,None,Christian
2279,1,Portsmouthcurl Road,Shannon,Thompson,38,Head,Married,f,Teaching laboratory technician,None,Catholic
2280,1,Portsmouthcurl Road,Callum,Thompson,46,Husband,Married,Male,"Surveyor, hydrographic",None,None
2281,2,Portsmouthcurl Road,Lindsey,Dennis,46,Head,Single,Female,"Embryologist, clinical",None,None
2282,2,Portsmouthcurl Road,Kevin,Murphy,50,Partner,Single,Male,"Buyer, retail",None,None
